pressure,maxtemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall,month,day_sin,day_cos,temp_range,temp_dew_diff,humidity_cloud_ratio,sunshine_cloud_ratio,gap_before_rain,gap_after_rain
1017.4000244140625,21.2,19.4,87.0,88.0,1.1,60.0,17.200000762939453,1.0,1,0.017213356155834685,0.9998518392091162,1.3000011,1.2000008,0.9886251091957092,0.012499858625233173,0.0,12.5
1016.7999877929688,20.5,16.9,96.0,91.0,0.0,50.0,48.0,1.0,1,0.017213356155834685,0.9998518392091162,2.7999992,1.2000008,1.0549334287643433,0.0,1.0,12.0
1021.9000244140625,19.3,16.3,95.0,100.0,0.0,70.0,26.5,1.0,1,0.017213356155834685,0.9998518392091162,2.0,1.8000011,0.9499905109405518,0.0,2.0,11.0
1012.2000122070312,17.1,14.7,93.0,96.0,0.2,30.0,20.0,1.0,1,0.017213356155834685,0.9998518392091162,2.5,1.4000006,0.968739926815033,0.002083311788737774,3.0,10.0
1013.4000244140625,16.2,15.9,86.0,88.0,0.0,20.0,43.099998474121094,1.0,1,0.017213356155834685,0.9998518392091162,2.3000011,-0.6999998,0.9772616028785706,0.0,4.0,9.0
1017.7999877929688,16.9,15.0,90.0,100.0,0.0,40.0,24.200000762939453,1.0,1,0.017213356155834685,0.9998518392091162,2.2999992,0.8999996,0.899990975856781,0.0,5.0,8.0
1019.9000244140625,16.6,12.4,92.0,100.0,0.0,40.0,37.0,1.0,1,0.03442161162274574,0.9994074007397048,2.2000008,3.1000004,0.9199907779693604,0.0,6.0,7.0
1013.4000244140625,21.3,16.9,96.0,93.0,0.0,50.0,37.0,1.0,1,0.03442161162274574,0.9994074007397048,1.5999985,3.3999996,1.0322469472885132,0.0,7.0,6.0
1015.2999877929688,21.9,16.8,85.0,95.0,0.0,60.0,21.899999618530273,1.0,1,0.03442161162274574,0.9994074007397048,4.6000004,1.9000015,0.8947274088859558,0.0,8.0,5.0
1019.5,16.2,15.4,95.0,91.0,0.0,50.0,21.899999618530273,1.0,1,0.03442161162274574,0.9994074007397048,0.40000057,1.5,1.0439445972442627,0.0,9.0,4.0
1014.2999877929688,23.1,18.5,92.0,88.0,0.6,70.0,41.400001525878906,1.0,1,0.03442161162274574,0.9994074007397048,5.5,2.2000008,1.0454427003860474,0.006818104535341263,10.0,3.0
